,Name,Party,State,Vote
0,Baldwin,D,WI,Yea
1,Barrasso,R,WY,Nay
2,Bennet,D,CO,Yea
3,Blackburn,R,TN,Nay
4,Blumenthal,D,CT,Yea
5,Blunt,R,MO,Yea
6,Booker,D,NJ,Yea
7,Boozman,R,AR,Nay
8,Braun,R,IN,Nay
9,Brown,D,OH,Yea
10,Burr,R,NC,Yea
11,Cantwell,D,WA,Yea
12,Capito,R,WV,Yea
13,Cardin,D,MD,Yea
14,Carper,D,DE,Yea
15,Casey,D,PA,Yea
16,Cassidy,R,LA,Yea
17,Collins,R,ME,Yea
18,Coons,D,DE,Yea
19,Cornyn,R,TX,Yea
20,Cortez Masto,D,NV,Yea
21,Cotton,R,AR,Nay
22,Cramer,R,ND,Nay
23,Crapo,R,ID,Nay
24,Cruz,R,TX,Nay
25,Daines,R,MT,Nay
26,Duckworth,D,IL,Yea
27,Durbin,D,IL,Yea
28,Ernst,R,IA,Yea
29,Feinstein,D,CA,Yea
30,Fischer,R,NE,Nay
31,Gillibrand,D,NY,Yea
32,Graham,R,SC,Yea
33,Grassley,R,IA,Yea
34,Hagerty,R,TN,Nay
35,Hassan,D,NH,Yea
36,Hawley,R,MO,Nay
37,Heinrich,D,NM,Yea
38,Hickenlooper,D,CO,Yea
39,Hirono,D,HI,Yea
40,Hoeven,R,ND,Nay
41,Hyde-Smith,R,MS,Nay
42,Inhofe,R,OK,Yea
43,Johnson,R,WI,Yea
44,Kaine,D,VA,Yea
45,Kelly,D,AZ,Yea
46,Kennedy,R,LA,Nay
47,King,I,ME,Yea
48,Klobuchar,D,MN,Yea
49,Lankford,R,OK,Yea
50,Leahy,D,VT,Yea
51,Lee,R,UT,Nay
52,Lujan,D,NM,Yea
53,Lummis,R,WY,Nay
54,Manchin,D,WV,Yea
55,Markey,D,MA,Yea
56,Marshall,R,KS,Nay
57,McConnell,R,KY,Yea
58,Menendez,D,NJ,Yea
59,Merkley,D,OR,Yea
60,Moran,R,KS,Yea
61,Murkowski,R,AK,Yea
62,Murphy,D,CT,Yea
63,Murray,D,WA,Yea
64,Ossoff,D,GA,Yea
65,Padilla,D,CA,Yea
66,Paul,R,KY,Nay
67,Peters,D,MI,Yea
68,Portman,R,OH,Yea
69,Reed,D,RI,Yea
70,Risch,R,ID,Nay
71,Romney,R,UT,Yea
72,Rosen,D,NV,Yea
73,Rounds,R,SD,Yea
74,Rubio,R,FL,Nay
75,Sanders,I,VT,Yea
76,Sasse,R,NE,Nay
77,Schatz,D,HI,Yea
78,Schumer,D,NY,Yea
79,Scott,R,FL,Nay
80,Scott,R,SC,Nay
81,Shaheen,D,NH,Yea
82,Shelby,R,AL,Nay
83,Sinema,D,AZ,Yea
84,Smith,D,MN,Yea
85,Stabenow,D,MI,Yea
86,Sullivan,R,AK,Nay
87,Tester,D,MT,Yea
88,Thune,R,SD,Yea
89,Tillis,R,NC,Yea
90,Toomey,R,PA,Nay
91,Tuberville,R,AL,Nay
92,Van Hollen,D,MD,Yea
93,Warner,D,VA,Yea
94,Warnock,D,GA,Yea
95,Warren,D,MA,Yea
96,Whitehouse,D,RI,Yea
97,Wicker,R,MS,Nay
98,Wyden,D,OR,Yea
99,Young,R,IN,Nay
